date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
02:37:21	34150/34150	---M--	200	added ('OK')	image/png	etag:%225d0783c9-8566%22	https://hotgram.me/assets/images/how-to-download/ht-7.png	C:/My%20Web%20Sites/hotgram/hotgram.me/assets/images/how-to-download/ht-7.png	(from https://hotgram.me/how-to-install-fa/)
02:37:22	38290/38290	---M--	200	added ('OK')	image/png	etag:%225d0783ca-9592%22	https://hotgram.me/assets/images/how-to-download/ht-8.png	C:/My%20Web%20Sites/hotgram/hotgram.me/assets/images/how-to-download/ht-8.png	(from https://hotgram.me/how-to-install-fa/)
02:37:22	31727/31727	---M--	200	added ('OK')	image/png	etag:%225d0783c9-7bef%22	https://hotgram.me/assets/images/how-to-download/ht-9.png	C:/My%20Web%20Sites/hotgram/hotgram.me/assets/images/how-to-download/ht-9.png	(from https://hotgram.me/how-to-install-fa/)
02:37:22	172600/172600	---M--	200	added ('OK')	image/jpeg	etag:%225d0783c9-2a238%22	https://hotgram.me/assets/images/how-to-download/ht-2.jpg	C:/My%20Web%20Sites/hotgram/hotgram.me/assets/images/how-to-download/ht-2.jpg	(from https://hotgram.me/how-to-install-fa/)
02:37:23	36824/36824	---M--	200	added ('OK')	image/png	etag:%225d0783c9-8fd8%22	https://hotgram.me/assets/images/how-to-download/ht-10.png	C:/My%20Web%20Sites/hotgram/hotgram.me/assets/images/how-to-download/ht-10.png	(from https://hotgram.me/how-to-install-fa/)
02:37:23	8005/8005	---M--	200	added ('OK')	image/png	etag:%225d0783c8-1f45%22	https://hotgram.me/assets/images/guide/downloading.png	C:/My%20Web%20Sites/hotgram/hotgram.me/assets/images/guide/downloading.png	(from https://hotgram.me/how-to-install-fa/)
02:37:26	7492/7492	---M--	200	added ('OK')	image/png	etag:%225d0783c8-1d44%22	https://hotgram.me/assets/images/guide/win-warning.png	C:/My%20Web%20Sites/hotgram/hotgram.me/assets/images/guide/win-warning.png	(from https://hotgram.me/how-to-install-fa/)
02:37:27	9040/9040	---M--	200	added ('OK')	image/png	etag:%225d0783c8-2350%22	https://hotgram.me/assets/images/guide/login.png	C:/My%20Web%20Sites/hotgram/hotgram.me/assets/images/guide/login.png	(from https://hotgram.me/how-to-install-fa/)
02:37:28	8560/8560	---MCZ	200	added ('OK')	application/javascript	etag:W/%225d0783c6-2170%22	https://hotgram.me/component---src-pages-privacy-fa-js-22b090ef6386253dc6d7.js	C:/My%20Web%20Sites/hotgram/hotgram.me/component---src-pages-privacy-fa-js-22b090ef6386253dc6d7.js	(from https://hotgram.me/privacy-fa/)
02:37:28	49217/49217	---M--	200	added ('OK')	image/jpeg	etag:%225d0783c8-c041%22	https://hotgram.me/assets/images/how-to-download/ht-5.jpg	C:/My%20Web%20Sites/hotgram/hotgram.me/assets/images/how-to-download/ht-5.jpg	(from https://hotgram.me/how-to-install-fa/)
02:37:28	55/55	---MCZ	200	added ('OK')	application/json	etag:W/%225d0783fa-37%22	https://hotgram.me/static/d/777/path---privacy-fa-328-d4f-0SUcWyAf8ecbYDsMhQkEfPzV8.json	C:/My%20Web%20Sites/hotgram/hotgram.me/static/d/777/path---privacy-fa-328-d4f-0SUcWyAf8ecbYDsMhQkEfPzV8.json	(from https://hotgram.me/privacy-fa/)
02:37:29	11395/11395	---MCZ	200	added ('OK')	application/javascript	etag:W/%225d0783c3-2c83%22	https://hotgram.me/component---src-pages-en-js-558b8a135dd984f10e50.js	C:/My%20Web%20Sites/hotgram/hotgram.me/component---src-pages-en-js-558b8a135dd984f10e50.js	(from https://hotgram.me/en/)
02:37:30	55/55	---MCZ	200	added ('OK')	application/json	etag:W/%225d0783fb-37%22	https://hotgram.me/static/d/770/path---en-310-dec-0SUcWyAf8ecbYDsMhQkEfPzV8.json	C:/My%20Web%20Sites/hotgram/hotgram.me/static/d/770/path---en-310-dec-0SUcWyAf8ecbYDsMhQkEfPzV8.json	(from https://hotgram.me/en/)
02:37:30	18250/18250	---MCZ	200	added ('OK')	text/html	etag:W/%225d0783f0-474a%22	https://hotgram.me/privacy/	C:/My%20Web%20Sites/hotgram/hotgram.me/privacy/index.html	(from https://hotgram.me/en/)
02:37:30	7230/7230	---MCZ	200	added ('OK')	application/javascript	etag:W/%225d0783c6-1c3e%22	https://hotgram.me/component---src-pages-privacy-js-0ef2f6c7c1fc7341452e.js	C:/My%20Web%20Sites/hotgram/hotgram.me/component---src-pages-privacy-js-0ef2f6c7c1fc7341452e.js	(from https://hotgram.me/privacy/)
02:37:31	55/55	---MCZ	200	added ('OK')	application/json	etag:W/%225d0783f5-37%22	https://hotgram.me/static/d/603/path---privacy-06-e-82f-0SUcWyAf8ecbYDsMhQkEfPzV8.json	C:/My%20Web%20Sites/hotgram/hotgram.me/static/d/603/path---privacy-06-e-82f-0SUcWyAf8ecbYDsMhQkEfPzV8.json	(from https://hotgram.me/privacy/)
